DOCNUM_ID,PEOPLE,STKCOD,DOCNUM,TRNQTY,STKDES
25,บ-001,T2157015R611BS00,RR1604180001,12.0,ยางนอก BS 215 / 70 -15 R611
26,บ-001,T2157015R611BS00,RR1604080001,12.0,ยางนอก BS 215 / 70 -15 R611
27,บ-001,T2157015R611BS00,RR1604210002,12.0,ยางนอก BS 215 / 70 -15 R611
28,บ-001,T2054517DT30BS,RR1604250003,4.0,ยางนอก ฺBS 205/45-17 DT30
29,บ-001,T2156515L627BS,RR160527002,8.0,ยางนอก BS 215/65-15 L627
30,บ-001,T2656517D68412BS00,RR160527003,8.0,ยางนอก BS 265 / 65-17 D684
31,บ-001,T2656517D68412BS00,RR160624007,8.0,ยางนอก BS 265 / 65-17 D684
32,บ-001,T2054517DT30BS,RR160419006,4.0,ยางนอก ฺBS 205/45-17 DT30
33,บ-001,T2054517DT30BS,RR160425005,4.0,ยางนอก ฺBS 205/45-17 DT30
34,บ-001,T2254517DT30DAYTON,RR160428003,4.0,ยางนอก DAYTON 225/45-17 DT30
35,บ-001,T2157015R611BS00,RR160429002,8.0,ยางนอก BS 215 / 70 -15 R611
36,บ-001,T2656517D68412BS00,RR160216001,4.0,ยางนอก BS 265 / 65-17 D684
37,บ-001,T2157015R611BS00,RR160216002,16.0,ยางนอก BS 215 / 70 -15 R611
38,บ-001,T2656517D68412BS00,RR160226001,8.0,ยางนอก BS 265 / 65-17 D684
39,บ-001,T1856015TZ700FS,RR160311010,8.0,ยางนอก FS 185/60-15 TZ700
39,บ-001,T1756514F01FS00,RR160311010,4.0,ยางนอก FS 175/65-14 F01
40,บ-001,T1856014TZ700FS,RR160311012,4.0,ยางนอก FS 185/60-14 TZ700
41,บ-001,T2656517D68412BS00,RR160311013,4.0,ยางนอก BS 265 / 65-17 D684
42,บ-001,T2656517D68412BS00,RR160311015,4.0,ยางนอก BS 265 / 65-17 D684
43,บ-001,T1657014TZ700,RR160318003,6.0,ยางนอก FS 165/70-14 TZ700
44,บ-001,T2157015R611BS00,RR160318006,8.0,ยางนอก BS 215 / 70 -15 R611
45,บ-001,T2656517D68412BS00,RR160322002,12.0,ยางนอก BS 265 / 65-17 D684
46,บ-001,T2157015R611BS00,RR160322003,20.0,ยางนอก BS 215 / 70 -15 R611
47,บ-001,T2157015R611BS00,RR160217005,20.0,ยางนอก BS 215 / 70 -15 R611
48,บ-001,T2156515L627BS,RR160924003,2.0,ยางนอก BS 215/65-15 L627
49,บ-001,T1756515ER370BS,RR161011008,4.0,ยางนอก BS 175/65-15 ER37
50,บ-001,T1756515ER370BS,RR161025005,4.0,ยางนอก BS 175/65-15 ER370
51,บ-001,T2656517D68412BS00,RR161026009,4.0,ยางนอก BS 265 / 65-17 D684
52,บ-001,T2354018DT30DT,RR161026010,4.0,ยางนอก DAYTON 235/40-18 DT30
53,บ-001,T2054517DT30BS,RR161026012,4.0,ยางนอก ฺBS 205/45-17 DT30
54,บ-001,T1856015TZ700FS,RR161031006,4.0,ยางนอก FS 185/60-15 TZ700
55,บ-001,T2056516GR100BS00,RR161029003,4.0,ยางนอก BS 205/65-16 GR-100
56,บ-001,T2157015R611BS00,RR161105006,60.0,ยางนอก BS 215 / 70 -15 R611
57,บ-001,T2254518TZ700FS,RR161107005,4.0,ยางนอก FS 225/45-18 TZ700
58,บ-001,T1756514F01FS00,RR161109003,4.0,ยางนอก FS 175/65-14 F01
59,บ-001,T1955516MY02BS00,RR161122003,4.0,ยางนอก BS 195  /55 -16 MY02
60,บ-001,T1955516MY02BS00,RR161128006,3.0,ยางนอก BS 195  /55 -16 MY02
61,บ-001,T2156515L627BS,RR161130007,20.0,ยางนอก BS 215/65-15 L627
62,บ-001,T,RR160922005,10.0,ยางรถยนต์
63,บ-001,T2056016EP200BS00,RR161206004,3.0,ยางนอก BS 205  /60 -16 Ecopia EP200
64,บ-001,T2157015R611BS00,RR161207007,30.0,ยางนอก BS 215 / 70 -15 R611
65,บ-001,T2054517DT30BS,RR161208005,12.0,ยางนอก ฺBS 205/45-17 DT30
66,บ-001,T1955515EP200BS00,RR161220005,4.0,ยางนอก BS 195  /55 -15 EP200
67,บ-001,T2157015R611BS00,RR161220006,20.0,ยางนอก BS 215 / 70 -15 R611
68,บ-001,T1856015TZ700FS,RR170106001,5.0,ยางนอก FS 185/60-15 TZ700
69,บ-001,T2054517DT30BS,RR170106002,5.0,ยางนอก ฺBS 205/45-17 DT30
70,บ-001,T1756515ER370BS,RR170110003,2.0,ยางนอก BS 175/65-15 ER370
71,บ-001,T2057015LE02FS,RR170111007,12.0,ยางนอก FS 205/70-15 LE-02
72,บ-001,T2054517DT30BS,RR170111013,3.0,ยางนอก ฺBS 205/45-17 DT30
73,บ-001,T2157015R611BS00,RR170111017,60.0,ยางนอก BS 215 / 70 -15 R611
74,บ-001,T2157015R611BS00,RR170117001,40.0,ยางนอก BS 215 / 70 -15 R611
75,บ-001,T2454518TZ700FS00,RR170116005,4.0,ยางนอก FS 245/45-18 TZ700
76,บ-001,T1657014EP150BS,RR170125005,4.0,ยางนอก BS 165/70-14 EP150
77,บ-001,T2054517DT30BS,RR170209002,4.0,ยางนอก ฺBS 205/45-17 DT30
78,บ-001,T1756514F01FS00,RR170215003,4.0,ยางนอก FS 175/65-14 F01
79,บ-001,T2057015LE02FS,RR170217003,40.0,ยางนอก FS 205/70-15 LE-02
80,บ-001,T2254517DT30DAYTON,RR170217005,4.0,ยางนอก DAYTON 225/45-17 DT30
81,บ-001,T2656517D68412BS00,RR170217010,4.0,ยางนอก BS 265 / 65-17 D684
82,บ-001,T2157015R611BS00,RR170217011,30.0,ยางนอก BS 215 / 70 -15 R611
83,บ-001,T1856015TZ700FS,RR170223005,7.0,ยางนอก FS 185/60-15 TZ700
84,บ-001,T2656517D68412BS00,RR170224009,12.0,ยางนอก BS 265 / 65-17 D684
85,บ-001,T2157015R611BS00,RR170308006,8.0,ยางนอก BS 215 / 70 -15 R611
86,บ-001,T2354018DT30DT,RR170308008,3.0,ยางนอก DAYTON 235/40-18 DT30
86,บ-001,T2054517DT30BS,RR170308008,8.0,ยางนอก ฺBS 205/45-17 DT30
87,บ-001,T1856015TZ700FS,RR170308009,8.0,ยางนอก FS 185/60-15 TZ700
88,บ-001,T1756514F01FS00,RR170320001,4.0,ยางนอก FS 175/65-14 F01
89,บ-001,T2157015R611BS00,RR170310010,22.0,ยางนอก BS 215 / 70 -15 R611
90,บ-001,T2656517D68412BS00,RR170318002,12.0,ยางนอก BS 265 / 65-17 D684
91,บ-001,T2155017EP200BS00,RR170318003,4.0,ยางนอก BS 215  /50 -17 EP200
92,บ-001,T2157015R611BS00,RR170318010,10.0,ยางนอก BS 215 / 70 -15 R611
93,บ-001,T2157015R611BS00,RR170323010,12.0,ยางนอก BS 215 / 70 -15 R611
94,บ-001,T2157015R611BS00,RR170324004,18.0,ยางนอก BS 215 / 70 -15 R611
95,บ-001,T2656517D68412BS00,RR170324005,4.0,ยางนอก BS 265 / 65-17 D684
96,บ-001,T2656517D68412BS00,RR170324006,8.0,ยางนอก BS 265 / 65-17 D684
97,บ-001,T1856515EP200BS00,RR170330008,2.0,ยางนอก BS 185  /65 -15 Ecopia EP200
98,บ-001,T2054517DT30BS,RR170330011,2.0,ยางนอก ฺBS 205/45-17 DT30
99,บ-001,T1855516EP200BS00,RR170404003,4.0,ยางนอก BS 185 /55 -16 Ecopia EP200
100,บ-001,T2656517D68412BS00,RR170425005,20.0,ยางนอก BS 265 / 65-17 D684
101,บ-001,T2656517D68412BS00,RR170506004,8.0,ยางนอก BS 265 / 65-17 D684
102,บ-001,T2254517DT30DAYTON,RR170510003,2.0,ยางนอก DAYTON 225/45-17 DT30
102,บ-001,T2054517DT30BS,RR170510003,1.0,ยางนอก ฺBS 205/45-17 DT30
103,บ-001,T1856015TZ700FS,RR170516003,5.0,ยางนอก FS 185/60-15 TZ700
104,บ-001,T2354018DT30DT,RR170519009,8.0,ยางนอก DAYTON 235/40-18 DT30
105,บ-001,T2055016RE003BS00,RR170522012,3.0,ยางนอก BS 205/50-16 RE003
106,บ-001,T1756514F01FS00,RR170523002,2.0,ยางนอก FS 175/65-14 F01
107,บ-001,T2656517D68412BS00,RR170523003,21.0,ยางนอก BS 265 / 65-17 D684
108,บ-001,T2656517D68412BS00,RR170605002,12.0,ยางนอก BS 265 / 65-17 D684
109,บ-001,T2157015R611BS00,RR170605003,40.0,ยางนอก BS 215 / 70 -15 R611
110,บ-001,T2454518TZ700FS00,RR170606002,4.0,ยางนอก FS 245/45-18 TZ700
111,บ-001,T2656517D68412BS00,RR170609005,8.0,ยางนอก BS 265 / 65-17 D684
112,บ-001,T2156515L627BS,RR170620005,20.0,ยางนอก BS 215/65-15 L627
113,บ-001,T1856515EP200BS00,RR170621003,1.0,ยางนอก BS 185  /65 -15 Ecopia EP200
114,บ-001,T2156016F01FS,RR170628001,4.0,ยางนอก FS 215/60-16 F01
115,บ-001,T2254517DT30DAYTON,RR170628004,2.0,ยางนอก DAYTON 225/45-17 DT30
116,บ-001,T2656517D68412BS00,RR170628005,12.0,ยางนอก BS 265 / 65-17 D684
117,บ-001,T2157015LE02BS,RR170713003,10.0,ยางนอก FS 215/70-15 LE02
118,บ-001,T2157015LE02BS,RR170717008,10.0,ยางนอก FS 215/70-15 LE02
119,บ-001,T2656517D68412BS00,RR170718006,8.0,ยางนอก BS 265 / 65-17 D684
120,บ-001,T2157015LE02BS,RR170718009,10.0,ยางนอก FS 215/70-15 LE02
121,บ-001,T2656517D68412BS00,RR170720006,12.0,ยางนอก BS 265 / 65-17 D684
122,บ-001,T2255517F01FS00,RR170720007,4.0,ยางนอก FS 225/55-17 F01
123,บ-001,T2157015LE02BS,RR170720011,10.0,ยางนอก FS 215/70-15 LE02
124,บ-001,T2156016F01FS,RR170722001,4.0,ยางนอก FS 215/60-16 F01
125,บ-001,T1856514F01FS00,RR170722004,8.0,ยางนอก FS 185/65-14 F01
125,บ-001,T1756514F01FS00,RR170722004,4.0,ยางนอก FS 175/65-14 F01
126,บ-001,T1856514F01FS00,RR170722005,4.0,ยางนอก FS 185/65-14 F01
126,บ-001,T1756514F01FS00,RR170722005,4.0,ยางนอก FS 175/65-14 F01
127,บ-001,T2257515R669BS00,RR170728006,8.0,ยางนอก BS 225/75-15 R669
128,บ-001,T2255517DT30BS,RR170826003,4.0,ยางนอก BS 225/55-17 DT30
129,บ-001,T2054517DT30BS,RR170826004,4.0,ยางนอก ฺBS 205/45-17 DT30
130,บ-001,T2057015LE02FS,RR170826009,12.0,ยางนอก FS 205/70-15 LE-02
131,บ-001,T2055016RE003BS00,RR170829002,1.0,ยางนอก BS 205/50-16 RE003
132,บ-001,T2157016LE02FS00,RR170829011,4.0,ยางนอก FS 215/70-16 LE-02
133,บ-001,T2054517DT30BS,RR170913001,8.0,ยางนอก ฺBS 205/45-17 DT30
134,บ-001,T2054517DT30BS,RR170913002,8.0,ยางนอก ฺBS 205/45-17 DT30
135,บ-001,T2157016LE02FS00,RR170913005,4.0,ยางนอก FS 215/70-16 LE-02
136,บ-001,T1856514F01FS00,RR170926001,2.0,ยางนอก FS 185/65-14 F01
137,บ-001,T2254518DT30BS,RR171014002,6.0,ยางนอก DAYTON 225/45-18 DT30
138,บ-001,T2156515L627BS,RR171019001,4.0,ยางนอก BS 215/65-15 L627
139,บ-001,T2157015R611BS00,RR171025005,40.0,ยางนอก BS 215 / 70 -15 R611
140,บ-001,T2254018DT30BS00,RR171026001,8.0,ยางนอก BS 225/40-18 DT30
141,บ-001,T1856514F01FS00,RR171030002,4.0,ยางนอก FS 185/65-14 F01
142,บ-001,T1757013EP150BS00,RR171030006,4.0,ยางนอก BS 175/70-13 EP150
143,บ-001,T2154517DT30BS00,RR171030012,8.0,ยางนอก DAYTON  215/45-17 DT30
143,บ-001,T2354018DT30DT,RR171030012,2.0,ยางนอก DAYTON 235/40-18 DT30
143,บ-001,T2255517DT30BS,RR171030012,5.0,ยางนอก BS 225/55-17 DT30
144,บ-001,T2255517F01FS00,RR171030014,2.0,ยางนอก FS 225/55-17 F01
145,บ-001,T2156516LE02FS00,RR171110002,8.0,ยางนอก FS 215/65-16 LE02
146,บ-001,T2354018DT30DT,RR171110003,4.0,ยางนอก DAYTON 235/40-18 DT30
147,บ-001,T2154517DT30BS00,RR171115002,4.0,ยางนอก DAYTON  215/45-17 DT30
148,บ-001,T2156515L627BS,RR171116003,12.0,ยางนอก BS 215/65-15 L627
149,บ-001,T2157015R611BS00,RR171116004,20.0,ยางนอก BS 215 / 70 -15 R611
150,บ-001,T2254018DT30BS00,RR171120003,6.0,ยางนอก BS 225/40-18 DT30
151,บ-001,T2157015R611BS00,RR171120004,16.0,ยางนอก BS 215 / 70 -15 R611
152,บ-001,T2156016GR100BS00,RR171120006,8.0,ยางนอก BS 215/60-16 GR100
153,บ-001,T2255017GR100BS00,RR171120007,4.0,ยางนอก BS 225/50-17 GR100
154,บ-001,T2157015R611BS00,RR171123001,4.0,ยางนอก BS 215 / 70 -15 R611
155,บ-001,T2457016EP850BS,RR171125002,12.0,ยางนอก BS 245/70-16 EP850
156,บ-001,T2057015LE02FS,RR171125003,7.0,ยางนอก FS 205/70-15 LE-02
157,บ-001,T1955016F01FS00,RR171125005,4.0,ยางนอก FS 195/50-16 F01
158,บ-001,T2054517DT30BS,RR171128003,7.0,ยางนอก BS 205/45-17 DT30
159,บ-001,T1856015EP150BS00,RR171127006,8.0,ยางนอก BS 185/60-15 EP150
160,บ-001,T2157015R611BS00,RR171130001,10.0,ยางนอก BS 215 / 70 -15 R611
161,บ-001,T1757014DT30,RR171130003,8.0,ยางนอก BS 175/70-14 DT 30
161,บ-001,T2255017DT30,RR171130003,8.0,ยางนอก BS 225/50-17 DT 30
162,บ-001,T2457016LE02FS00,RR171130004,1.0,ยางนอก FS 245/70-16 LE-02
162,บ-001,T2656517LE02FS00,RR171130004,8.0,ยางนอก FS 265/65-17 LE-02
163,บ-001,T2454518TZ700FS00,RR171130005,3.0,ยางนอก FS 245/45-18 TZ700
164,บ-001,T1856015EP150BS00,RR171130006,6.0,ยางนอก BS 185/60-15 EP150
165,บ-001,T2557015EP850BS00,RR171130007,4.0,ยางนอก BS 255 / 70-15 Ecopia EP850
166,บ-001,T1855516MY02BS00,RR171130008,2.0,ยางนอก BS 185 /55 -16 MY02
166,บ-001,T1757014EP150BS,RR171130008,4.0,ยางนอก BS 175/70-14 EP150
167,บ-001,T2155517F01FS00,RR171204005,1.0,ยางนอก FS 215/55-17 F01
168,บ-001,T2457016HT100DT,RR171204006,4.0,ยางนอก DAYTON 245/70-16 H/T100
169,บ-001,T1955516MY02BS00,RR171206004,4.0,ยางนอก BS 195  /55 -16 MY02
170,บ-001,T2054517DT30BS,RR171207001,12.0,ยางนอก BS 205/45-17 DT30
170,บ-001,T1955515DT30,RR171207001,10.0,ยางนอก BS 195/55-15 DT30
171,บ-001,T1757013TZ700FS,RR171207002,8.0,ยางนอก FS 175/70-13 TZ700
172,บ-001,T2254518DT30BS,RR171208002,6.0,ยางนอก DAYTON 225/45-18 DT30
173,บ-001,T1955515RE003BS00,RR171212001,12.0,ยางนอก BS 195/55-15 RE003
174,บ-001,T2257515R669BS00,RR171212002,5.0,ยางนอก BS 225/75-15 R669
175,บ-001,T2254517GR100BS00,RR171212003,4.0,ยางนอก BS 225/45-17 GR100
176,บ-001,T1856015DT30,RR171213001,12.0,ยางนอก DT 185/60-15 DT30
177,บ-001,T1856514F01FS00,RR171213002,5.0,ยางนอก FS 185/65-14 F01
178,บ-001,T2157015R611BS00,RR171213003,20.0,ยางนอก BS 215 / 70 -15 R611
179,บ-001,T2157016R611BS00,RR171213004,6.0,ยางนอก BS 215 / 70 -16 R611
180,บ-001,T2057015LE02FS,RR171213005,20.0,ยางนอก FS 205/70-15 LE-02
181,บ-001,T1956015DT30,RR171213006,4.0,ยางนอก DAYTON 195/60-15 DT30
182,บ-001,T1955515MY02BS00,RR171213007,8.0,ยางนอก BS 195  /55 -15 MY02
182,บ-001,T1955516MY02BS00,RR171213007,3.0,ยางนอก BS 195  /55 -16 MY02
183,บ-001,T2157015LE02BS,RR171213008,20.0,ยางนอก FS 215/70-15 LE02
184,บ-001,T2254517DT30DAYTON,RR171213009,2.0,ยางนอก DAYTON 225/45-17 DT30
185,บ-001,T2656517D68412BS00,RR171213010,8.0,ยางนอก BS 265 / 65-17 D684
185,บ-001,T2657016D840BS00,RR171213010,12.0,ยางนอก BS 265 / 70-16 D840
186,บ-001,T2057015R611BS00,RR171213011,20.0,ยางนอก BS 205/70-15 R611
187,บ-001,T2557015EP850BS00,RR171213012,4.0,ยางนอก BS 255 / 70-15 Ecopia EP850
188,บ-001,T2255517F01FS00,RR171213013,4.0,ยางนอก FS 225/55-17 F01
189,บ-001,T2457016D689BS00,GR171123002,9.0,ยางนอก BS 245 / 70-16 D684
190,บ-001,53-60-05-00,OE171116003,0.0,ค่าปรับล่าช้า
191,บ-001,52-00-01-00,OE171107008,0.0,ค่าส่งเสริมการขาย 
192,บ-001,T2354517GR100BS00,GR170509001,4.0,ยางนอก BS 235/45-17 GR100
193,บ-001,T1956015EP300,RR171215001,12.0,ยางนอก BS 195/60-15 EP300
194,บ-001,T2156516LE02FS00,RR171215002,6.0,ยางนอก FS 215/65-16 LE02
195,บ-001,T2157016R611BS00,RR171215003,8.0,ยางนอก BS 215 / 70 -16 R611
196,บ-001,T2656517D68412BS00,RR171215004,2.0,ยางนอก BS 265 / 65-17 D684
196,บ-001,T2656517D693BS,RR171215004,6.0,ยางนอก BS 265/65-17 D693
197,บ-001,T1756514DT30,RR171219001,4.0,ยางนอก BS 175/65-14 DT30
198,บ-001,T1856514EP150BS,RR171219002,5.0,ยางนอก BS 185/65-14 EP150
199,บ-001,T1956015F01,RR171218003,12.0,ยางนอก BS 195/60-15 F01
200,บ-001,T2656517D68412BS00,RR171221001,8.0,ยางนอก BS 265 / 65-17 D684
200,บ-001,T2656517EP850BS00,RR171221001,1.0,ยางนอก BS 265 / 65-17 Ecopia EP850
200,บ-001,T2054517RE003BS,RR171221001,5.0,ยางนอก BS 205/45-17 RE003
200,บ-001,T2255517GR100BS00,RR171221001,2.0,ยางนอก BS 225/55-17 GR100
201,บ-001,T2055516GR100BS00,RR17122102,8.0,ยางนอก BS 205/55-16 GR100
201,บ-001,T2156016GR100BS00,RR17122102,6.0,ยางนอก BS 215/60-16 GR100
202,บ-001,T1856514EP150BS,RR171221002,2.0,ยางนอก BS 185/65-14 EP150
203,บ-001,T2255017DT30,RR171221003,12.0,ยางนอก BS 225/50-17 DT 30
204,บ-001,T2155517DT30DT00,RR171221004,12.0,ยางนอก DT 215/55-17 DT30
205,บ-001,T1856015F01,RR171223001,6.0,ยางนอก BS 185/60-15 F01
205,บ-001,T1955515F01FS00,RR171223001,8.0,ยางนอก FS 195/55-15 F01
205,บ-001,T1756515F01,RR171223001,1.0,ยางนอก BS 175/65-15 F01
206,บ-001,T1956515DT30,RR171222002,12.0,ยางนอก BS 195/65-15 DT30
207,บ-001,T1955016EP300,RR171223002,12.0,ยางนอก BS 195/50-16 EP300
208,บ-001,T1756515DT30,RR171223003,3.0,ยางนอก BS 175/65-15 DT30
208,บ-001,T1856515DT30,RR171223003,1.0,ยางนอก BS 185/65-15 DT30
209,บ-001,T2656517D68412BS00,RR171225002,8.0,ยางนอก BS 265 / 65-17 D684
209,บ-001,T2457016HT100DT,RR171225002,6.0,ยางนอก DAYTON 245/70-16 H/T100
210,บ-001,T1956015GR100BS,RR171225003,20.0,ยางนอก BS 195/60-15 GR100
211,บ-001,T2157015R611BS00,RR171226001,12.0,ยางนอก BS 215 / 70 -15 R611
212,บ-001,T2157015R611BS00,RR171227001,8.0,ยางนอก BS 215 / 70 -15 R611
213,บ-001,T1956515GR100BS00,RR171227002,20.0,ยางนอก BS 195/65-15 GR100
214,บ-001,T2156515TZ70Z,RR171228001,4.0,ยางนอก FS 215/65-15 TZ70Z
215,บ-001,T1757013TZ700FS,RR171228002,2.0,ยางนอก FS 175/70-13 TZ700
215,บ-001,T1756514F01FS00,RR171228002,4.0,ยางนอก FS 175/65-14 F01
215,บ-001,T1956515F01FS00,RR171228002,3.0,ยางนอก FS 195/65-15 F01
216,บ-001,T1857014EP150BS00,RR180106001,4.0,ยางนอก BS 185/70-14 EP150
217,บ-001,52-00-01-00,GR171130001,1.0,ค่าส่งเสริมการขาย
217,บ-001,TAX,GR171130001,1.0,หัก ณ ที่จ่าย 3%
218,บ-001,52-00-01-00,GR171130002,1.0,ค่าส่งเสริมการขาย
218,บ-001,TAX,GR171130002,1.0,หัก ณ ที่จ่าย 3%
219,บ-001,53-60-05-00,OE171227005,0.0,ค่าธรรมเนียมผ่อน 0%
220,บ-001,T2455018TZ700FS00,RR180108001,4.0,ยางนอก FS 245/50-18 TZ700
221,บ-001,T2457016D840BS00,RR180115003,4.0,ยางนอก BS 245 / 70-16 D840
221,บ-001,T2656517D68412BS00,RR180115003,20.0,ยางนอก BS 265 / 65-17 D684
222,บ-001,T1955016EP300,RR18011504,3.0,ยางนอก BS 195/50-16 EP300
223,บ-001,T2157015DURAPLUSGY00,RR180115004,10.0,ยางนอก GY 215/70-15 DURA PLUS
224,บ-001,T2156515L627BS,RR180115005,12.0,ยางนอก BS 215/65-15 L627
225,บ-001,T21514L677BS00,RR180115006,4.0,ยางนอก BS 215 -14 L677
226,บ-001,T2254518DT30BS,RR180115007,8.0,ยางนอก DAYTON 225/45-18 DT30
227,บ-001,T1856514DT30,RR180115008,2.0,ยางนอก BS 185/65-14 DT30
228,บ-001,T1955016F01FS00,RR180115009,5.0,ยางนอก FS 195/50-16 F01
229,บ-001,T20514CV9000,RR180115010,1.0,ยางนอก FS 205/14 CV9000
230,บ-001,T2657016EP850BS00,RR180110004,3.0,ยางนอก BS 265 / 70-16 Ecopia EP850
231,บ-001,T2157015R611BS00,RR180115011,32.0,ยางนอก BS 215 / 70 -15 R611
232,บ-001,T2556517D840YBS00,RR180111004,8.0,ยางนอก BS 255 / 65-17 D840
233,บ-001,T19514L677BS00,RR180111005,50.0,ยางนอก BS 195 -14 L677
234,บ-001,T1856015DT30,RR180111006,5.0,ยางนอก DT 185/60-15 DT30
235,บ-001,T2054517RE003BS,RR180110005,4.0,ยางนอก BS 205/45-17 RE003
236,บ-001,T2156516R611BS,RR180110006,12.0,ยางนอก BS 215/65-16 R611
237,บ-001,T1856015EP150BS00,RR180110007,20.0,ยางนอก BS 185/60-15 EP150
238,บ-001,T2156515TZ70Z,RR180110008,8.0,ยางนอก FS 215/65-15 TZ700
239,บ-001,T1856015EP300,RR180110009,8.0,ยางนอก BS 185/60-15 EP300
240,บ-001,T2457016EP850BS,RR180110010,8.0,ยางนอก BS 245/70-16 EP850
240,บ-001,T1857014EP150BS00,RR180110010,4.0,ยางนอก BS 185/70-14 EP150
241,บ-001,T1956015DT30,RR180110011,2.0,ยางนอก DAYTON 195/60-15 DT30
242,บ-001,T18514R623BS00,RR180112002,7.0,ยางนอก BS 185 -14 R623
243,บ-001,T2656018HT100DT,RR180117001,12.0,ยางนอก DAYTON 265/60-18 H/T100
244,บ-001,T1856015DT30,RR180119001,5.0,ยางนอก DT 185/60-15 DT30
245,บ-001,T2257515R669BS00,RR180119002,8.0,ยางนอก BS 225/75-15 R669
246,บ-001,T2156516R611BS,RR180119003,20.0,ยางนอก BS 215/65-16 R611
247,บ-001,T2257015D684BS00,RR180119004,4.0,ยางนอก BS 225 / 70-15 D684
248,บ-001,52-00-01-00,GR171229001,1.0,ค่าส่งเสริมการขาย
248,บ-001,TAX,GR171229001,1.0,หัก ณ ที่จ่าย 3%
249,บ-001,52-00-01-00,GR171229002,1.0,ค่าส่งเสริมการขาย
249,บ-001,TAX,GR171229002,1.0,หัก ณ ที่จ่าย 3%
250,บ-001,52-00-01-00,GR171229003,1.0,ค่าส่งเสริมการขาย
250,บ-001,TAX,GR171229003,1.0,หัก ณ ที่จ่าย 3%
251,บ-001,52-00-01-00,GR171229004,1.0,ค่าส่งเสริมการขาย
251,บ-001,TAX,GR171229004,1.0,หัก ณ ที่จ่าย 3%
252,บ-001,52-00-01-00,GR171229005,1.0,ค่าส่งเสริมการขาย
252,บ-001,TAX,GR171229005,1.0,หัก ณ ที่จ่าย 3%
253,บ-001,52-00-01-00,GR171229006,1.0,ค่าส่งเสริมการขาย
253,บ-001,TAX,GR171229006,1.0,หัก ณ ที่จ่าย 3%
254,บ-001,T1756515DT30,RR180122001,7.0,ยางนอก BS 175/65-15 DT30
255,บ-001,T19514CV9000FS,RR180122002,3.0,ยางนอก FS 195/14 CV9000
256,บ-001,T2457016D840BS00,RR180125002,19.0,ยางนอก BS 245 / 70-16 D840
257,บ-001,T1856515DT30,RR180125003,4.0,ยางนอก BS 185/65-15 DT30
258,บ-001,T2457016LE02FS00,RR180125004,2.0,ยางนอก FS 245/70-16 LE-02
259,บ-001,T2656018HT100DT,RR180126002,5.0,ยางนอก DAYTON 265/60-18 H/T100
260,บ-001,T2055516F01FS00,RR180126003,3.0,ยางนอก FS 205/55-16 F01
